timestamp,sender,chat_id,status,message_preview,error
2026-01-17 22:22:03,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:24:11,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:24:19,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:24:27,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:26:35,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:26:43,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:26:51,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:28:59,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:29:07,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:29:15,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:31:23,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
2026-01-17 22:31:31,BOT,-1003301530947,FAILED,🛍️ **Micro-Ondas Mondial 1200W MO-01-21-B**  🔗 https://mercadolivre.com/sec/2fiTYAs  ✅ Recomendação ...,Cannot send requests while disconnected
2026-01-17 22:31:39,BOT,-1003301530947,FAILED,🛍️ **Lavadora de Alta Pressão Lava Jato UWS2250 Lava Car Electrolux 2250PSI com 1800W Potencia Ultra...,Cannot send requests while disconnected
2026-01-17 22:33:47,BOT,-1003301530947,FAILED,🛍️ **Chave De Impacto 320nm Com 2 Baterias Sem Escova**  🔗 https://mercadolivre.com/sec/1qS7avk  ✅ R...,Cannot send requests while disconnected
